feature,coefficient,abs_coefficient,train_n_positive,direction
dx_Cardiac arrest (with or without respiratory arrest; for respiratory arrest see Respiratory System),0.38350737,0.38350737,1841.0,increases risk
"dx_CABG alone, coronary artery bypass grafting",-0.3032479,0.3032479,2258.0,decreases risk
dx_Diabetic ketoacidosis,-0.2970274,0.2970274,1526.0,decreases risk
dx_Other,-0.2762776,0.2762776,34683.0,decreases risk
"dx_Bleeding, upper GI",-0.24054962,0.24054962,1255.0,decreases risk
"dx_Infarction, acute myocardial (MI)",-0.23353337,0.23353337,2779.0,decreases risk
"dx_Rhythm disturbance (atrial, supraventricular)",-0.22670726,0.22670726,1433.0,decreases risk
dx_Seizures (primary-no structural brain disease),-0.22151297,0.22151297,1097.0,decreases risk
"dx_Sepsis, renal/UTI (including bladder)",-0.21562801,0.21562801,2148.0,decreases risk
dx_Emphysema/bronchitis,-0.19840692,0.19840692,1708.0,decreases risk
dx_Aortic valve replacement (isolated),-0.19659536,0.19659536,1091.0,decreases risk
"dx_CHF, congestive heart failure",-0.17674598,0.17674598,2603.0,decreases risk
age,0.13367532,0.13367532,,increases risk
"dx_Coma/change in level of consciousness (for hepatic see GI, for diabetic see Endocrine, if related to cardiac arrest, see CV)",-0.12640233,0.12640233,1014.0,decreases risk
"dx_Sepsis, unknown",-0.1210972,0.1210972,1061.0,decreases risk
"dx_Sepsis, GI",-0.119679764,0.119679764,1157.0,decreases risk
gender_male,-0.090984665,0.090984665,37753.0,decreases risk
lab_sodium_b2,0.087756164,0.087756164,,increases risk
"dx_Pneumonia, bacterial",-0.08758151,0.08758151,1554.0,decreases risk
lab_bicarbonate_b2,-0.083748326,0.083748326,,decreases risk
lab_WBC x 1000_b2,0.07473402,0.07473402,,increases risk
vit_respiration_max_h0,0.06904479,0.06904479,,increases risk
lab_chloride_b1,-0.059814773,0.059814773,,decreases risk
"dx_CVA, cerebrovascular accident/stroke",-0.057032567,0.057032567,2867.0,decreases risk
vit_heartrate_h0,0.056628365,0.056628365,,increases risk
lab_chloride_b0,-0.055550788,0.055550788,,decreases risk
lab_total bilirubin_b1,0.05492132,0.05492132,,increases risk
vit_temperature_h21,0.054698553,0.054698553,,increases risk
lab_sodium_b1,0.05098338,0.05098338,,increases risk
lab_BUN_b2,0.048627164,0.048627164,,increases risk
lab_Hgb_b2,-0.048414283,0.048414283,,decreases risk
vit_temperature_h16,0.048100974,0.048100974,,increases risk
lab_bicarbonate_b1,-0.04792707,0.04792707,,decreases risk
vit_heartrate_min_h1,-0.04782317,0.04782317,,decreases risk
vit_systemicsystolic_h22,0.047463078,0.047463078,,increases risk
vit_heartrate_h2,0.046542533,0.046542533,,increases risk
