study,criterion,param,target_n_hospitals,actual_n_hospitals,auroc_mean,auroc_std,auprc_mean,auprc_std
Georgoutsos et al.,size_mortality_spread,,8,8,0.7754949067845474,0.0032879893349873125,0.25062329849378434,0.00717122818761379
Yang et al. (FedRew),stays_ge,650,10,10,0.7989031500023798,0.0007375130274267236,0.3518858233316968,0.0025803592884405106
FedWeight,top_volume,,10,10,0.7989031500023798,0.0007375130274267236,0.3518858233316968,0.0025803592884405106
POLA (Deng et al.),stays_ge,600,12,12,0.8060586297081829,0.0008236119226077751,0.37777834660688203,0.0032525562186274995
FedComDist,top_volume,,15,15,0.8027479757675742,0.0010099681793145705,0.3685580036088866,0.0021587101740009225
Dang et al. 2022,top_volume,,20,20,0.8075048906311368,0.0014404278637771737,0.3652018959149079,0.0016448980377198781
Dang et al. 2020,stays_ge_top_volume,500,20,20,0.8075048906311368,0.0014404278637771737,0.3652018959149079,0.0016448980377198781
Wang et al.,deaths_gt,100,42,21,0.8041325453125966,0.0019302558096284887,0.3939990012095425,0.0017079615726437452
CBFL (Huang et al.),stays_gt_balanced,600,50,50,0.7695857722772451,0.0032499878847194394,0.3020903683354285,0.005880485223255578
FedCov,random_balanced,,50,50,0.7686800565156481,0.00331200430306676,0.299758044526475,0.006099136102932639
This work (full pool),min-volume tier,"(300, 15)",94,94,0.8034322304531871,,0.3592332890962009,
