perturbation,severity,aggregator,small_n,small_mean_delta,large_n,large_mean_delta,U_stat,p_value,p_value_holm,significant_holm
label_noise,0.1,fedavg,46,0.0006144990903860383,48,-0.006761421761782374,1228.0,0.3502491265284364,1.0,False
label_noise,0.1,fedprox,46,0.004029002358400095,48,-0.0059953672510106,1252.0,0.2645793109608895,1.0,False
label_noise,0.2,fedavg,46,-0.011453919506918413,48,-0.022126934202574455,1115.0,0.9367002044400473,1.0,False
label_noise,0.2,fedprox,46,-0.009197919662683417,48,-0.020716527766397427,1123.0,0.8887177977649879,1.0,False
label_noise,0.3,fedavg,46,-0.053629688154432247,48,-0.08107572888836008,1309.0,0.1219214161240821,1.0,False
label_noise,0.3,fedprox,46,-0.051602208318516835,48,-0.07899732326918642,1291.0,0.15835852626229507,1.0,False
input_noise,0.01,fedavg,46,-0.0003587648562059207,48,-0.00013496966384505225,1016.5,0.5019658334919626,1.0,False
input_noise,0.01,fedprox,46,-9.163982957179314e-05,48,-3.1543419344312075e-05,1075.0,0.8268091867345508,1.0,False
input_noise,0.05,fedavg,46,-0.003484257764054307,48,0.00037091465968413655,938.0,0.21064420823962748,1.0,False
input_noise,0.05,fedprox,46,-0.00035460839737640583,48,0.0008625359332760481,1012.0,0.488861613144578,1.0,False
input_noise,0.1,fedavg,46,-7.904732600077827e-07,48,-0.0003503639095330732,1157.0,0.6912971062629075,1.0,False
input_noise,0.1,fedprox,46,0.0024360416674449234,48,0.0005740025705069923,1202.0,0.46084089660270944,1.0,False
input_noise,0.25,fedavg,46,0.0023993924446477724,48,0.0001311513051116831,1090.0,0.9186703381523288,1.0,False
input_noise,0.25,fedprox,46,0.00483001220415285,48,0.0018265907122123391,1133.0,0.8293284277461271,1.0,False
input_noise,0.5,fedavg,46,-0.005473748606625438,48,-0.005357761466305869,1038.0,0.6203060541521783,1.0,False
input_noise,0.5,fedprox,46,-0.004762997228278025,48,-0.0057788038817798105,1043.0,0.6472408696341847,1.0,False
input_noise,1.0,fedavg,46,-0.01690135837518061,48,-0.019756886971811525,1080.0,0.8589233216649339,1.0,False
input_noise,1.0,fedprox,46,-0.014666404935464764,48,-0.018463018770588924,1082.0,0.8708194701203673,1.0,False
byzantine_random_norm_matched,0.05,fedavg,46,-0.004268288868190629,48,-0.006273412538331327,1233.0,0.33108823981244495,1.0,False
byzantine_random_norm_matched,0.05,fedprox,46,-0.0030074407030938333,48,-0.004882399588874957,1284.0,0.17456734251078043,1.0,False
byzantine_random_norm_matched,0.1,fedavg,46,-0.0040104906490217055,48,-0.001127881476400561,1083.0,0.8767786976390611,1.0,False
byzantine_random_norm_matched,0.1,fedprox,46,-0.004510364046521898,48,0.0002381614246955337,976.0,0.3348634090032726,1.0,False
byzantine_random_norm_matched,0.2,fedavg,46,-0.007211805524279222,48,-0.017022768054107074,1422.0,0.016330372214050086,0.571563027491753,False
byzantine_random_norm_matched,0.2,fedprox,46,-0.007697481713573906,48,-0.015383654135284475,1438.0,0.011653559429622816,0.41952813946642137,False
byzantine_sign_flip,0.05,fedavg,46,-0.01516245067642492,48,-0.013384383104842352,1169.0,0.6256539511090705,1.0,False
byzantine_sign_flip,0.05,fedprox,46,-0.012252015469208196,48,-0.010675763212608935,1133.0,0.8293284277461271,1.0,False
byzantine_sign_flip,0.1,fedavg,46,-4.4683579718930845e-05,48,0.0005365563382181455,1166.0,0.6418141135740539,1.0,False
byzantine_sign_flip,0.1,fedprox,46,0.0018920222350754837,48,0.001638372534577344,1182.0,0.5577531449434869,1.0,False
byzantine_sign_flip,0.2,fedavg,46,-0.03909700780391147,48,-0.047862314125482676,1199.0,0.4747564868419971,1.0,False
byzantine_sign_flip,0.2,fedprox,46,-0.041473881554034794,48,-0.046788983016184615,1155.0,0.7024892214200138,1.0,False
byzantine_scaled_replacement,0.05,fedavg,46,-0.00151500426305593,48,-0.01073854978290395,1247.0,0.28111640522330283,1.0,False
byzantine_scaled_replacement,0.05,fedprox,46,-0.00039029133532843263,48,-0.009604523710121618,1202.0,0.460847374529895,1.0,False
byzantine_scaled_replacement,0.1,fedavg,46,-0.00012025587489020012,48,-0.005304819206254145,1090.0,0.9186703381523288,1.0,False
byzantine_scaled_replacement,0.1,fedprox,46,-0.0004371608377939485,48,-0.004235832112348451,1124.0,0.8827449180206971,1.0,False
byzantine_scaled_replacement,0.2,fedavg,46,-0.11453048059956317,48,-0.08144539618738618,969.0,0.3090079230312319,1.0,False
byzantine_scaled_replacement,0.2,fedprox,46,-0.11143048727001034,48,-0.08107114523566185,975.0,0.33108823981244495,1.0,False
