hospitalid,auroc,auprc,n
63,0.7948369565217391,0.3052811628281239,100
66,0.7899543378995433,0.11143790849673202,76
73,0.8234738372093022,0.3479378810062106,683
79,0.7565891472868217,0.22319280453251206,144
110,0.7861657303370786,0.3409150847110406,194
122,0.8231707317073171,0.4119488296788549,367
141,0.7620593692022264,0.3790601840050057,168
142,0.8336856941508105,0.529682525260547,205
143,0.6791044776119404,0.13231568739439803,73
144,0.7777777777777777,0.27262194487340685,77
146,0.7530864197530864,0.4213401540987748,87
148,0.8568764568764569,0.38647050561526813,158
152,0.9155844155844156,0.5974775524978365,95
154,0.7864583333333333,0.5315680901990426,92
157,0.767479674796748,0.40575929285265455,97
165,0.8042929292929294,0.5310514406539183,150
167,0.8192729766803841,0.5646184200160107,279
171,0.8970814132104454,0.4656392339544514,100
176,0.7950727883538634,0.4520519407121683,207
181,0.8416149068322981,0.6170390355291282,106
183,0.793483709273183,0.46432192503990544,211
184,0.823156225218081,0.4743155153501849,110
188,0.851164909540544,0.5169068448290669,433
195,0.8603896103896104,0.25991128757019843,162
197,0.8118783745382211,0.34802529448670916,224
198,0.5135658914728682,0.07826821782588858,92
199,0.8396789462852439,0.4809574927264829,382
202,0.8484848484848485,0.5319464201043148,86
206,0.7770897832817337,0.5308248921958799,104
207,0.9548022598870056,0.7575757575757576,62
208,0.7109057939728867,0.33011483741567216,350
210,0.8721804511278196,0.5793290043290042,64
215,0.8967032967032966,0.7185555073093066,72
217,0.8645579886455799,0.4632797232362077,155
220,0.901893287435456,0.5185756684807918,90
224,0.7738095238095238,0.20554059975112607,62
226,0.8274572649572649,0.42779764101378676,133
227,0.8493788819875777,0.5289617417959745,152
243,0.816273411418548,0.36151664624737506,454
244,0.8095238095238095,0.22793416114666734,128
248,0.7883913764510779,0.5007352651179834,216
252,0.7863841994924419,0.34930575194649466,395
256,0.8504273504273504,0.3619047619047619,81
259,0.7087053571428572,0.4630501579945364,78
264,0.7683454652764116,0.22938968155073045,649
268,0.8380414312617702,0.5476136269124707,68
269,0.8175675675675675,0.40362415362415366,80
271,0.9157894736842106,0.43346405228758167,101
272,0.9081081081081082,0.2668398268398268,116
275,0.847457627118644,0.6003603603603603,64
277,0.9,0.5046234924495794,158
279,0.8434343434343434,0.2523809523809524,69
280,0.898465171192444,0.299431773899859,128
281,0.8334099264705883,0.1799314230723997,288
282,0.8157303370786516,0.6471515151515151,94
283,0.8145734597156399,0.22808541131365537,227
300,0.757751937984496,0.255848456015845,423
301,0.90625,0.5856822344322344,103
307,0.7426179958149268,0.41710740118419465,210
310,0.679245283018868,0.08035734497534158,111
318,0.7041269841269842,0.28973269193394274,120
331,0.7022471910112359,0.18843930252001545,186
336,0.8513986013986015,0.40620489363658896,115
338,0.7315436241610739,0.1867516523321532,485
345,0.7610037021801728,0.20529378355378966,200
353,0.7432835820895523,0.21363636363636362,72
357,0.734375,0.14369747899159663,68
365,0.6939935064935066,0.3099672842285405,183
382,0.7735507246376812,0.25363714548460065,146
384,0.7264076130055512,0.4569066342509704,110
387,0.744949494949495,0.381797872581706,72
388,0.8401874023945861,0.4128307547094373,130
390,0.9001904761904762,0.5445561262950445,146
391,0.7923611111111111,0.46750002411620917,111
392,0.7818532818532818,0.4989837326872141,88
394,0.8549742477636215,0.3345639276397138,234
396,0.8153846153846154,0.24137521257196712,71
400,0.82633394197606,0.6566361686652948,190
403,0.8716577540106951,0.5236883640752112,130
407,0.8766233766233766,0.43124796350602795,83
411,0.8082315694255993,0.37291285415401737,223
413,0.716117216117216,0.15347227489068793,223
416,0.8154248366013073,0.2952784267416757,242
417,0.7578947368421053,0.34591449395790275,204
420,0.8469486913708214,0.576005680845588,522
421,0.7999999999999999,0.6048739146621989,67
435,0.7105034722222222,0.22196405513160225,160
440,0.8013750954927426,0.3468225699778559,130
443,0.6641711229946524,0.23778455206609816,446
444,0.8625954198473282,0.35916271989939696,142
449,0.7974553399306001,0.38202391017780096,282
452,0.7547746371275783,0.44747900208867375,94
458,0.8604693971468016,0.5404451696679091,463
459,0.8596491228070176,0.6057692307692307,63
