hospitalid,auroc,auprc,n
63,0.7948369565217391,0.3051640795206972,100
66,0.7808219178082192,0.10687830687830688,76
73,0.8232921511627906,0.3475955980749617,683
79,0.7560723514211887,0.22257176174984994,144
110,0.7847612359550562,0.3401684392690063,194
122,0.8214509068167605,0.40985985323258683,367
141,0.7588126159554731,0.3791247805073453,168
142,0.8340380549682875,0.5318392275453634,205
143,0.6741293532338309,0.1299672025459132,73
144,0.7777777777777777,0.27262194487340685,77
146,0.742798353909465,0.4187996031746032,87
148,0.855944055944056,0.38500560617182994,158
152,0.9123376623376623,0.5919341878165407,95
154,0.7854166666666667,0.5312279541446208,92
157,0.7634146341463415,0.40249174327466786,97
165,0.8000841750841751,0.503336530042807,150
167,0.8166438042981253,0.5612847778622816,279
171,0.8894009216589862,0.4608730158730159,100
176,0.7933930571108622,0.4515716424345945,207
181,0.843167701863354,0.6181341164186268,106
183,0.7847117794486216,0.45962158058072594,211
184,0.8215701823949246,0.47260428540366084,110
188,0.8504490433424444,0.5086654443722207,433
195,0.862012987012987,0.26928628757019846,162
197,0.8113100312588803,0.3481034861921284,224
198,0.5135658914728682,0.07814418289709985,92
199,0.8398847499485491,0.480268760237353,382
202,0.8412121212121212,0.5265963711085663,86
206,0.7727554179566564,0.5321027238063101,104
207,0.9378531073446328,0.7380952380952381,62
208,0.7100423106812883,0.33179473646620417,350
210,0.8746867167919798,0.5921910430839002,64
215,0.8945054945054944,0.7181122448979591,72
217,0.864963503649635,0.46354042401522977,155
220,0.9001721170395869,0.5175676039646628,90
224,0.7767857142857142,0.20627160787343857,62
226,0.8253205128205128,0.4265006112242557,133
227,0.8519668737060041,0.5305218900952533,152
243,0.8153680755955411,0.3609429260857798,454
244,0.80765639589169,0.22727881837358963,128
248,0.7877280265339967,0.5006342561261546,216
252,0.7872117400419287,0.35088596851064924,395
256,0.8461538461538463,0.32857142857142857,81
259,0.7098214285714286,0.4637414022341677,78
264,0.766509279297003,0.22740182943076565,649
268,0.8361581920903955,0.5440523733512173,68
269,0.8198198198198198,0.40506715506715507,80
271,0.9157894736842106,0.43346405228758167,101
272,0.9063063063063063,0.27205367096671446,116
275,0.847457627118644,0.6003603603603603,64
277,0.9,0.506210794036881,158
279,0.8333333333333334,0.2289272030651341,69
280,0.8961038961038961,0.29146702159124516,128
281,0.8334099264705883,0.1795353060080363,288
282,0.8157303370786516,0.6471515151515151,94
283,0.8166469194312796,0.22843176831899664,227
300,0.7573212747631353,0.25519123784290876,423
301,0.9047619047619047,0.5499679487179487,103
307,0.741687979539642,0.4158253459010758,210
310,0.6773584905660377,0.08015613773188082,111
318,0.7015873015873016,0.28827495835019956,120
331,0.7001404494382023,0.18586003434904536,186
336,0.8496503496503497,0.40241196145600666,115
338,0.7314258801365829,0.18692189434427442,485
345,0.758124228712464,0.20244382954515538,200
353,0.7432835820895523,0.21363636363636362,72
357,0.734375,0.14607464607464607,68
365,0.7012987012987013,0.3107775277451676,183
382,0.7744565217391304,0.25424515232005335,146
384,0.7232355273592388,0.4556922367979598,110
387,0.7424242424242424,0.3816022544283414,72
388,0.8407079646017699,0.4144886894557828,130
390,0.9001904761904762,0.5446758072490896,146
391,0.79375,0.47009193129468824,111
392,0.7799227799227799,0.49841446518895577,88
394,0.8557874762808348,0.3362799092578761,234
396,0.8102564102564102,0.23791451205244307,71
400,0.8243051328869955,0.6540426177837837,190
403,0.8708938120702827,0.5263620834662559,130
407,0.8722943722943723,0.42777777777777776,83
411,0.8086838534599728,0.3724839674469699,223
413,0.7153846153846154,0.15426982984399118,223
416,0.8141176470588235,0.29382437806395234,242
417,0.755049786628734,0.3443149192693314,204
420,0.8462036797097694,0.5751351561098776,522
421,0.8052631578947368,0.606005990133897,67
435,0.7126736111111112,0.22474276193231527,160
440,0.7868601986249044,0.3337178852302761,130
443,0.6622180888165543,0.23680460520255991,446
444,0.861207494795281,0.35649312230451924,142
449,0.7970697853746305,0.38176601358824086,282
452,0.7563025210084033,0.44815153217296855,94
458,0.8614818223653934,0.5405337877347003,463
459,0.8567251461988304,0.6051594746716698,63
