hospitalid,auroc,auprc,n
63,0.7476415094339622,0.31014071787534336,114
66,0.8352059925093633,0.14,92
73,0.8706486445669411,0.3879484292703038,830
79,0.837248322147651,0.4073027536034519,165
92,0.5894736842105264,0.1735836868022037,62
110,0.7523502551705614,0.26116988003718167,236
122,0.8089137166798228,0.3198636933219777,426
140,0.8189655172413794,0.31760507642860586,64
141,0.8577365728900257,0.34252893153783326,201
142,0.8152788388082506,0.4605696564865312,222
143,0.6172161172161172,0.14452128331438677,85
144,0.9116809116809117,0.5338400877874562,87
146,0.737012987012987,0.1782202217496335,95
148,0.8111111111111111,0.4322414007487037,183
152,0.869012707722385,0.6524675145642888,104
154,0.8488063660477454,0.540082696617342,100
157,0.7483323226197696,0.44534651641296935,114
165,0.8005152741994848,0.540284273250105,162
167,0.8260413687922982,0.41733413200417424,308
171,0.8389423076923077,0.2943484293589066,112
176,0.8904205607476635,0.6374135287933476,234
180,0.9655172413793103,0.7361111111111112,62
181,0.8200808625336927,0.5116948527662813,120
183,0.79375,0.29567449275031965,244
184,0.854054054054054,0.5327948692197126,126
188,0.7668344870988044,0.36761972663113174,496
195,0.8027777777777778,0.34345874713521773,169
197,0.8703746265226384,0.40240036619894815,248
198,0.6703296703296704,0.10548149459725178,97
199,0.8433834122247376,0.5225444645368561,382
202,0.8351515151515152,0.5021127314837498,86
206,0.860061919504644,0.6657927328063186,104
207,0.8955223880597014,0.4826923076923077,71
208,0.7426541194545804,0.24609061316886116,422
210,0.8697478991596639,0.5853701853701854,75
215,0.8688845401174168,0.6366387580673295,80
217,0.8648233486943164,0.4535304230443977,176
220,0.7624398073836276,0.1601843070037707,96
224,0.8364389233954452,0.3871187363834423,76
226,0.8262032085561497,0.5120599873903359,149
227,0.8240506329113924,0.2907018911087108,173
243,0.7739500758981278,0.39108697219960786,533
244,0.712,0.23666753181459063,160
245,0.828125,0.22577913279132789,84
248,0.9429590017825312,0.5685624751550813,248
252,0.7977348434377082,0.44412818097908113,452
256,0.748,0.3855044180625576,105
259,0.7130434782608696,0.43873749677804647,84
264,0.7778209109730848,0.2990988057962206,746
268,0.8264840182648401,0.4444576401060749,82
269,0.8655303030303031,0.29407667949334615,94
271,0.8764478764478765,0.2853452593852186,118
272,0.8020541549953314,0.12715735522339294,160
275,0.7492537313432837,0.38681050826035934,72
277,0.8731684981684982,0.36168923597329167,194
279,0.8703296703296703,0.43927875243664716,96
280,0.9034749034749034,0.2977034661245187,155
281,0.796290424857324,0.26053452860681997,351
282,0.8320754716981131,0.31686507936507935,111
283,0.7345355420423569,0.1938291145503088,270
300,0.8370386358730844,0.4166956190265153,493
301,0.8660714285714286,0.45760667903525043,119
307,0.7429665071770335,0.3943604829915383,234
310,0.7954887218045112,0.1442870709537376,138
312,0.9222222222222223,0.7522946945527591,64
318,0.7369679579148734,0.2504120492006461,140
331,0.8984126984126986,0.27518508061986324,219
336,0.7464892830746489,0.33240971259745966,134
337,0.7442622950819673,0.1965891472868217,66
338,0.752178523675596,0.2517046875282035,570
345,0.7082790091264668,0.10822936621997072,249
353,0.6615384615384615,0.20523709167544785,83
357,0.8571428571428572,0.5677777777777777,75
365,0.7484008528784648,0.21376972782304077,208
382,0.8464646464646465,0.408185673751312,174
384,0.7436582109479305,0.34133898377107086,121
386,0.8461538461538461,0.6797357814599193,62
387,0.8460111317254174,0.4196440814087873,84
388,0.8499772001823985,0.6095940575364965,146
390,0.8770236612702366,0.5374520285726728,168
391,0.8889452332657201,0.581441626915557,133
392,0.7866666666666666,0.44647723906953396,105
394,0.8147392290249432,0.20128508584477994,263
396,0.5139372822299652,0.08634524261754559,89
400,0.7719594594594594,0.3836833675011423,217
403,0.8910761154855643,0.6885467865791757,139
407,0.6655462184873949,0.2763462762969951,92
411,0.7173913043478262,0.3126996240543635,255
413,0.8178571428571428,0.255336890537918,239
416,0.8740157480314961,0.30621015853584616,273
417,0.851828231292517,0.5328586308466454,245
420,0.8700218221494818,0.5298947464182542,642
421,0.8962868117797695,0.6811449564957022,82
435,0.7767361111111111,0.3057969941496371,178
440,0.8958333333333334,0.4591205341785837,152
443,0.7343451334199863,0.32848520686003485,509
444,0.8970588235294118,0.5346927402820412,165
449,0.7910714285714286,0.3244131182995209,312
452,0.7693324520819563,0.4742292710825544,106
458,0.8463453534056873,0.48186925114544915,508
459,0.803763440860215,0.3373738729941737,68
