hospitalid,auroc,auprc,n
63,0.7641509433962265,0.35511279913453825,114
66,0.8314606741573034,0.12962962962962962,92
73,0.863902942434997,0.3794335507819224,830
79,0.8334731543624161,0.41198925623419197,165
92,0.5649122807017544,0.17497435897435898,62
110,0.7566478646253021,0.25955637595179853,236
122,0.8024166616066549,0.3184527069421332,426
140,0.8160919540229885,0.2890382521961469,64
141,0.8503836317135549,0.33433453489344866,201
142,0.8146676852559205,0.4596042723694922,222
143,0.6373626373626373,0.1588849437371605,85
144,0.915954415954416,0.543999518999519,87
146,0.7370129870129871,0.16802377043568684,95
148,0.8124579124579124,0.452124702778516,183
152,0.8699902248289344,0.6626875766425204,104
154,0.8488063660477454,0.5451495725886943,100
157,0.7483323226197696,0.45073023401366963,114
165,0.7953625322046375,0.5443056526582016,162
167,0.8235630540463255,0.4162632553166017,308
171,0.8413461538461539,0.29725209851382417,112
176,0.8904205607476636,0.6436139015126757,234
180,0.9612068965517241,0.740909090909091,62
181,0.8106469002695418,0.4875444739912896,120
183,0.7926136363636364,0.29546611784191346,244
184,0.8492492492492493,0.5192934180679278,126
188,0.7615900985945039,0.35118000065712174,496
195,0.7972222222222222,0.339406412053602,169
197,0.8646288209606987,0.4019098141352304,248
198,0.673992673992674,0.10857807480147905,97
199,0.8354256705769362,0.5123103073927294,382
202,0.8315151515151515,0.49190965620734617,86
206,0.8668730650154799,0.6792587826442107,104
207,0.8731343283582089,0.464572192513369,71
208,0.7375968247871456,0.23727872091742425,422
210,0.8823529411764706,0.5990155677655677,75
215,0.8767123287671232,0.6394957983193278,80
217,0.8620583717357911,0.4620103783281123,176
220,0.7479935794542536,0.15233482966718043,96
224,0.8364389233954451,0.3742575235222294,76
226,0.8288770053475936,0.49952495656665136,149
227,0.8257383966244726,0.26773944292705,173
243,0.7745403946702648,0.3921833615749775,533
244,0.7206666666666667,0.2306964852572984,160
245,0.8343750000000001,0.26805555555555555,84
248,0.9365928189457602,0.5340502808961736,248
252,0.7951587830335332,0.45066155144022024,452
256,0.738,0.3842832329704048,105
259,0.706280193236715,0.4402045241223798,84
264,0.7711697722567288,0.2922828046047127,746
268,0.832572298325723,0.44823265992639594,82
269,0.8579545454545455,0.28630632360471064,94
271,0.8674388674388673,0.2771739992236886,118
272,0.7936507936507937,0.12257770795807695,160
275,0.728358208955224,0.38112280701754386,72
277,0.8727106227106227,0.35256021812722776,194
279,0.865934065934066,0.37536398467432947,96
280,0.8986486486486487,0.28244949494949495,155
281,0.7924857324032973,0.2522072093408611,351
282,0.8433962264150943,0.3286988373944896,111
283,0.7347452296078842,0.19274040437555043,270
300,0.829969781998705,0.39968808666154326,493
301,0.8698979591836734,0.4631785265425818,119
307,0.7389473684210526,0.3850029774063012,234
310,0.7894736842105263,0.1380919116940602,138
312,0.9074074074074073,0.7273564425770308,64
318,0.7326637972262076,0.244907703604667,140
331,0.8973544973544973,0.25390042427054765,219
336,0.745750184774575,0.33572151458367927,134
337,0.7508196721311475,0.20694412564180006,66
338,0.746000276637927,0.254153050492301,570
345,0.7030638852672751,0.10798182498038675,249
353,0.6512820512820512,0.21106705118961788,83
357,0.8714285714285714,0.5747474747474748,75
365,0.7348969438521677,0.2090472384471052,208
382,0.8491582491582491,0.4123730960397627,174
384,0.7296395193591455,0.3321364645296644,121
386,0.8346153846153846,0.6665601627523857,62
387,0.8348794063079777,0.41160828901522095,84
388,0.8600091199270405,0.6370407623663523,146
390,0.8770236612702366,0.5360794156166091,168
391,0.8757606490872212,0.5832927077618814,133
392,0.7748148148148148,0.42963557045666273,105
394,0.8083900226757369,0.19356698913422293,263
396,0.5174216027874565,0.08699864662597581,89
400,0.7619932432432432,0.3547011603588035,217
403,0.8838582677165354,0.6694365530303031,139
407,0.6588235294117647,0.26784794857084016,92
411,0.7097076461769115,0.2905787086431371,255
413,0.8133928571428571,0.24455530206737502,239
416,0.8642768338168255,0.29938943621805636,273
417,0.8560799319727891,0.5771568036697817,245
420,0.8686124749954537,0.5162318673423204,642
421,0.8681177976952624,0.6514834562635149,82
435,0.775,0.301064658092048,178
440,0.8970238095238096,0.39518927275480986,152
443,0.7265846012692103,0.3217188414512093,509
444,0.8828976034858388,0.5033953223381535,165
449,0.7887276785714286,0.323695251465291,312
452,0.7785855915399869,0.47732946878859006,106
458,0.8438946590422842,0.490411076408247,508
459,0.7903225806451613,0.3375044302675881,68
