hospitalid,auroc,auprc,n
63,0.7730978260869565,0.23481788464373604,100
66,0.7853881278538813,0.10909090909090909,76
73,0.8227834302325582,0.34616654099560507,683
79,0.7436692506459949,0.22650469228692277,144
110,0.7731741573033708,0.31074989552866555,194
122,0.8252032520325203,0.41708892067708997,367
141,0.7634508348794063,0.38802643695285854,168
142,0.8296335447498239,0.5291627880067392,205
143,0.6965174129353234,0.1370739436136173,73
144,0.7336601307189543,0.2254491211094985,77
146,0.7880658436213992,0.3366791160908808,87
148,0.8293706293706293,0.42697288306155495,158
152,0.9058441558441558,0.5589822791624851,95
154,0.796875,0.49253586934507987,92
157,0.7739837398373983,0.4969664043744264,97
165,0.7798821548821548,0.5520190720401099,150
167,0.821787837219936,0.5188403012918885,279
171,0.8556067588325653,0.4226028873087696,100
176,0.7698768197088466,0.41252305184215243,207
181,0.8664596273291926,0.6154453032353105,106
183,0.7656641604010025,0.4392192191323378,211
184,0.8207771609833465,0.5102342878149331,110
188,0.8594949889366134,0.5149559500832099,433
195,0.911525974025974,0.32728746090327443,162
197,0.8303495311167947,0.3667353971488158,224
198,0.4883720930232558,0.08668577734711456,92
199,0.8372093023255814,0.5402193848591323,382
202,0.850909090909091,0.5362757042328754,86
206,0.7894736842105263,0.5642643925020877,104
207,0.9661016949152543,0.7777777777777777,62
208,0.6955357913824368,0.297938140050701,350
210,0.8521303258145364,0.5153061224489797,64
215,0.9120879120879121,0.8070810142238714,72
217,0.8588807785888077,0.4354091632913341,155
220,0.8950086058519793,0.5109674639086403,90
224,0.7886904761904763,0.2402894491129785,62
226,0.8226495726495726,0.42337534894707374,133
227,0.8607660455486543,0.5764892472060215,152
243,0.8083517229672381,0.34087878617083034,454
244,0.8300653594771241,0.3137219410181227,128
248,0.8003316749585406,0.5382677741075982,216
252,0.7964801941961823,0.36031824264003115,395
256,0.8376068376068376,0.24523809523809526,81
259,0.7087053571428572,0.5055748959803135,78
264,0.7607711981113515,0.23371383209312352,649
268,0.8662900188323917,0.532918762046729,68
269,0.8445945945945946,0.342359764418588,80
271,0.9070175438596491,0.41606753812636166,101
272,0.863063063063063,0.2487320044296788,116
275,0.8033898305084746,0.5241666666666667,64
277,0.922972972972973,0.6272736124634859,158
279,0.7575757575757576,0.15634920634920635,69
280,0.8831168831168832,0.2652516134658992,128
281,0.8405330882352942,0.18306910806049057,288
282,0.8314606741573034,0.6058730158730159,94
283,0.7890995260663507,0.2502166091717257,227
300,0.7489951191501579,0.23599228532957103,423
301,0.9345238095238095,0.6052310579404175,103
307,0.7505231341548476,0.43304577443220504,210
310,0.7169811320754718,0.09582089930496157,111
318,0.7073015873015873,0.2945205861105539,120
331,0.6776685393258426,0.13183309813655095,186
336,0.8723776223776223,0.46946562296785843,115
338,0.7383727775815377,0.20711299084883744,485
345,0.7317976141505553,0.26190531865114836,200
353,0.7164179104477612,0.23035714285714287,72
357,0.74609375,0.15874505928853755,68
365,0.6891233766233766,0.2547429747451112,183
382,0.8333333333333334,0.4037699145930853,146
384,0.7668517049960349,0.5050372174767748,110
387,0.7272727272727273,0.4530295126539259,72
388,0.836022904737116,0.42364287137196166,130
390,0.8902857142857143,0.5233930775320751,146
391,0.8006944444444445,0.44369822374483187,111
392,0.7953667953667953,0.5592211081472108,88
394,0.8571428571428571,0.35901908759659756,234
396,0.7897435897435897,0.2089796777296777,71
400,0.8040170419963482,0.6042055622029436,190
403,0.8517952635599695,0.4743501156802671,130
407,0.8658008658008658,0.5026460254721125,83
411,0.8055178652193578,0.3613936839450805,223
413,0.7128205128205128,0.12629862591658103,223
416,0.8609150326797386,0.3238107487332799,242
417,0.7419630156472262,0.33697448461026736,204
420,0.8519370303187354,0.5960688006429988,522
421,0.8052631578947368,0.6531169775850626,67
435,0.7018229166666666,0.26834943614904094,160
440,0.8143621084797555,0.3826282146587028,130
443,0.6753778191118345,0.24038469469147386,446
444,0.8556557945870923,0.36188733940963347,142
449,0.7821616758771366,0.362900146832873,282
452,0.8021390374331551,0.5151882706553987,94
458,0.8483663138518178,0.520961715310592,463
459,0.8859649122807017,0.552245670995671,63
