hospitalid,auroc,auprc,n
63,0.7771739130434783,0.23802642297309157,100
66,0.7853881278538813,0.10909090909090909,76
73,0.8226017441860466,0.34516939338564107,683
79,0.7416020671834626,0.22120015578063035,144
110,0.7724719101123596,0.3104450529705095,194
122,0.8237961225766104,0.4161448188003883,367
141,0.7634508348794063,0.37753793290518556,168
142,0.8289288231148696,0.5294488305330619,205
143,0.6990049751243782,0.13795113659607344,73
144,0.7369281045751634,0.22760622326660063,77
146,0.7818930041152263,0.33393012959050694,87
148,0.8293706293706293,0.42581503358265044,158
152,0.895021645021645,0.545719489977657,95
154,0.7958333333333333,0.49342684658664476,92
157,0.769918699186992,0.494574883524577,97
165,0.7765151515151514,0.5486670900355933,150
167,0.8200731595793324,0.5168154467558841,279
171,0.8463901689708141,0.4086224233283057,100
176,0.7667973124300113,0.4095386735589406,207
181,0.8664596273291926,0.6154453032353105,106
183,0.7586466165413533,0.4348012819056222,211
184,0.8207771609833465,0.5117527124102806,110
188,0.8586489652479501,0.5128381612863827,433
195,0.9131493506493507,0.32959803354540196,162
197,0.8292128445581132,0.368900657750723,224
198,0.4883720930232558,0.08690573772798285,92
199,0.8359744803457502,0.5372573816171018,382
202,0.8448484848484848,0.5075255615353643,86
206,0.7888544891640866,0.5643530489467767,104
207,0.9548022598870056,0.7575757575757576,62
208,0.6932043864951214,0.2981205686654965,350
210,0.8471177944862155,0.5132227891156462,64
215,0.9120879120879121,0.8070810142238714,72
217,0.8580697485806974,0.434200143076466,155
220,0.8932874354561101,0.5070428171268507,90
224,0.7886904761904763,0.2402894491129785,62
226,0.8221153846153846,0.4246232360237652,133
227,0.8607660455486542,0.5776883365736454,152
243,0.807729304588921,0.3399317152787693,454
244,0.8291316526610644,0.31350881228836985,128
248,0.8,0.539242720470612,216
252,0.7973077347456692,0.36150897814060273,395
256,0.8418803418803419,0.24607843137254903,81
259,0.7109375,0.5062265553408262,78
264,0.759328480556102,0.23185293427582152,649
268,0.864406779661017,0.5309947601227271,68
269,0.8468468468468469,0.3445527468747283,80
271,0.9070175438596491,0.41606753812636166,101
272,0.8612612612612612,0.24787178937591536,116
275,0.8033898305084746,0.5241666666666667,64
277,0.9222972972972974,0.6239402791301525,158
279,0.7575757575757576,0.15634920634920635,69
280,0.8819362455726092,0.2631507731297647,128
281,0.8407628676470589,0.18249241544611017,288
282,0.8314606741573034,0.6058730158730159,94
283,0.7905805687203791,0.24983282779202337,227
300,0.7482055699109962,0.2336207960851073,423
301,0.9330357142857143,0.6006523033616629,103
307,0.7523831667054174,0.4323482922648845,210
310,0.7188679245283018,0.09674397622803849,111
318,0.7066666666666667,0.2978807468849525,120
331,0.6776685393258427,0.13190410431013253,186
336,0.8706293706293706,0.5000117813445754,115
338,0.7385493936182738,0.2074775477698802,485
345,0.7301522007404361,0.2611852970288582,200
353,0.7164179104477612,0.23035714285714287,72
357,0.7421875,0.14624505928853754,68
365,0.689935064935065,0.25479458571988284,183
382,0.8342391304347826,0.4050561775890723,146
384,0.7644726407613006,0.5046566958343232,110
387,0.7272727272727273,0.4530295126539259,72
388,0.8370640291514836,0.4242196251994895,130
390,0.8906666666666667,0.522686105101327,146
391,0.8006944444444445,0.4488401727097379,111
392,0.7982625482625482,0.5660895230109662,88
394,0.8571428571428571,0.3599017572407962,234
396,0.7923076923076923,0.21352513227513228,71
400,0.8027997565429092,0.6022884159702095,190
403,0.852559205500382,0.47776743596361615,130
407,0.8722943722943723,0.5062830687830687,83
411,0.8071008593396652,0.36142919932421896,223
413,0.710989010989011,0.12298581397356258,223
416,0.8596078431372549,0.3205565769796546,242
417,0.7396870554765291,0.33653021960718443,204
420,0.8515483285825344,0.596313379013107,522
421,0.8052631578947368,0.645814886910879,67
435,0.7039930555555556,0.269270267991496,160
440,0.8090145148968678,0.38060260641881805,130
443,0.6738897930713788,0.23959102153839323,446
444,0.8542678695350452,0.3612029986876988,142
449,0.7825472304331063,0.3629684796922715,282
452,0.8029029793735676,0.5161437227166128,94
458,0.8491946617579383,0.5224385836327994,463
459,0.8859649122807017,0.552245670995671,63
