hospitalid,auroc,auprc,n
63,0.7771739130434783,0.23958137531328322,100
66,0.7899543378995435,0.11026936026936027,76
73,0.8224927325581396,0.3440837422097837,683
79,0.7503875968992247,0.22125876528078622,144
110,0.776685393258427,0.3138188940425148,194
122,0.8267667292057536,0.4196696591268403,367
141,0.7653061224489797,0.37326142906098975,168
142,0.8321000704721635,0.5357289365178385,205
143,0.6865671641791045,0.13339285714285715,73
144,0.7434640522875817,0.2329976219913327,77
146,0.7901234567901234,0.43121693121693117,87
148,0.8344988344988344,0.4170051699502837,158
152,0.9155844155844156,0.5997177011479071,95
154,0.7937500000000001,0.502279248156034,92
157,0.7731707317073171,0.47045811612663035,97
165,0.781986531986532,0.5327057082508604,150
167,0.8225880201188843,0.5313269896392808,279
171,0.8540706605222734,0.4168750789440444,100
176,0.7754759238521838,0.41399252641615164,207
181,0.8649068322981367,0.618498333676905,106
183,0.77468671679198,0.45912525888708117,211
184,0.8215701823949247,0.5084361605643171,110
188,0.8589092802290772,0.5176296556938024,433
195,0.9066558441558441,0.31298215673215674,162
197,0.8297811878374538,0.37515283220062706,224
198,0.49224806201550386,0.08054718559066035,92
199,0.8382383206421073,0.5329236632981873,382
202,0.8557575757575757,0.5353334941539644,86
206,0.7925696594427244,0.5713762558856952,104
207,0.96045197740113,0.7666666666666666,62
208,0.6988170278905104,0.3062505581568134,350
210,0.8696741854636592,0.5427318295739347,64
215,0.9120879120879121,0.8070810142238714,72
217,0.8613138686131387,0.4345406043989633,155
220,0.8967297762478484,0.513765506202481,90
224,0.7797619047619048,0.2273809523809524,62
226,0.8226495726495726,0.42469941402055145,133
227,0.8592132505175983,0.5688316964130534,152
243,0.8119730662592656,0.34816086794326306,454
244,0.8235294117647058,0.28170549245054555,128
248,0.7970149253731343,0.5462293742014921,216
252,0.7950457905770716,0.3564485014430965,395
256,0.8376068376068376,0.24523809523809526,81
259,0.7120535714285714,0.49545247796108105,78
264,0.7620171814545216,0.2349475258057646,649
268,0.8606403013182674,0.5421015712682379,68
269,0.8445945945945945,0.3437590960810775,80
271,0.9070175438596491,0.41938997821350765,101
272,0.872072072072072,0.2606410256410256,116
275,0.8067796610169491,0.5246099290780142,64
277,0.9148648648648648,0.6178537757036743,158
279,0.7727272727272727,0.16402714932126697,69
280,0.885478158205431,0.26669885345442523,128
281,0.8375459558823529,0.1821515136662191,288
282,0.8247191011235955,0.6517482517482518,94
283,0.7938388625592417,0.24470213608678226,227
300,0.7531581969566467,0.24072204240587963,423
301,0.9300595238095237,0.5964285714285714,103
307,0.7488956056730993,0.42469834481890373,210
310,0.7113207547169811,0.09253593754501195,111
318,0.7079365079365079,0.303706570892047,120
331,0.6860955056179775,0.15999776414333378,186
336,0.8715034965034965,0.45815538216723994,115
338,0.7396090898386907,0.20615266749125383,485
345,0.7338543809132044,0.22016801206341338,200
353,0.7194029850746269,0.23086996336996335,72
357,0.7421875,0.14624505928853754,68
365,0.685064935064935,0.26154561056395487,183
382,0.8179347826086957,0.39097596907402943,146
384,0.7501982553528945,0.4788309524281639,110
387,0.7297979797979799,0.372236680955297,72
388,0.8438313378448725,0.42868420483025016,130
390,0.8921904761904762,0.5210524025998167,146
391,0.8013888888888889,0.46864012049482795,111
392,0.7915057915057915,0.5635828541603618,88
394,0.8587693141772839,0.3569828470403042,234
396,0.7923076923076924,0.21155700631507082,71
400,0.808683302901197,0.6095829100363142,190
403,0.8571428571428571,0.4861484841323552,130
407,0.8658008658008658,0.5025793650793651,83
411,0.80958842152872,0.3691212106562872,223
413,0.715018315018315,0.13801760235274907,223
416,0.8501960784313726,0.31429177256465507,242
417,0.7436699857752489,0.33810292357099764,204
420,0.8515159367711842,0.5933399642182507,522
421,0.8105263157894735,0.6473936273936274,67
435,0.7035590277777778,0.2363617198964712,160
440,0.812070282658518,0.3658142363749538,130
443,0.6757963264357126,0.24850836048499064,446
444,0.8570437196391394,0.3551086603056607,142
449,0.7856316668808636,0.37313837684023826,282
452,0.7906799083269672,0.49202244315250376,94
458,0.8518177634606535,0.5315266969035098,463
459,0.8742690058479532,0.5321895424836601,63
