hospitalid,auroc,auprc,n
63,0.7866847826086956,0.24586527805674813,100
66,0.7853881278538813,0.10832004253056884,76
73,0.8224563953488372,0.3455205139481329,683
79,0.7462532299741602,0.21823284891868344,144
110,0.7749297752808989,0.31490663699769345,194
122,0.8255159474671669,0.418366443692205,367
141,0.764378478664193,0.3715943166399509,168
142,0.829985905567301,0.5319015364177857,205
143,0.6890547263681592,0.1346554834054834,73
144,0.7434640522875817,0.2329976219913327,77
146,0.786008230452675,0.4294444444444444,87
148,0.8340326340326341,0.4155936575719773,158
152,0.9058441558441559,0.5880009585091255,95
154,0.7916666666666666,0.4985473387255952,92
157,0.7699186991869919,0.46943047611458516,97
165,0.7786195286195285,0.5259743959300244,150
167,0.8205304069501601,0.5214508476827701,279
171,0.8509984639016897,0.4153618509550713,100
176,0.772956326987682,0.412504557388872,207
181,0.8664596273291926,0.6161527141801227,106
183,0.7709273182957393,0.45385889739989677,211
184,0.8207771609833466,0.5081614352895918,110
188,0.8582584927762593,0.5139557334440772,433
195,0.9058441558441558,0.3124771062271062,162
197,0.8286445012787723,0.37227950553502337,224
198,0.5077519379844961,0.08543751333783796,92
199,0.8376895108732936,0.5341973109604937,382
202,0.8533333333333334,0.5093726988749873,86
206,0.7913312693498452,0.5637972086944596,104
207,0.943502824858757,0.7435897435897436,62
208,0.6961402296865555,0.30378037964657534,350
210,0.8646616541353382,0.5485969387755102,64
215,0.9120879120879121,0.8070810142238714,72
217,0.862124898621249,0.4347875484661321,155
220,0.8967297762478484,0.513765506202481,90
224,0.7767857142857143,0.22283549783549786,62
226,0.8199786324786325,0.4209179864450879,133
227,0.8623188405797101,0.5720154606649065,152
243,0.8114638148588241,0.34532442720124,454
244,0.8216619981325863,0.28111960122994634,128
248,0.7970149253731343,0.5462147802931065,216
252,0.7959836698664902,0.3573244457449875,395
256,0.8376068376068376,0.24523809523809526,81
259,0.7109375,0.4938400009915458,78
264,0.7611318775001639,0.23457183988574795,649
268,0.8587570621468927,0.5404349046015713,68
269,0.8445945945945945,0.3437590960810775,80
271,0.9052631578947368,0.41666666666666663,101
272,0.8684684684684685,0.2591397849462365,116
275,0.8033898305084746,0.5241666666666667,64
277,0.9148648648648648,0.6178537757036743,158
279,0.7777777777777778,0.16830065359477125,69
280,0.885478158205431,0.26669885345442523,128
281,0.8370863970588235,0.18057395194025083,288
282,0.8224719101123596,0.6017482517482518,94
283,0.7962085308056872,0.24518356526986673,227
300,0.7530146425495263,0.23939242212813025,423
301,0.9270833333333333,0.5901584974165619,103
307,0.7479655893978144,0.4232609641785443,210
310,0.7113207547169811,0.09337889686295914,111
318,0.7079365079365079,0.30379313423248033,120
331,0.6832865168539325,0.1356918943595228,186
336,0.8715034965034965,0.45815538216723994,115
338,0.7394913458142,0.2093448177414073,485
345,0.7342657342657343,0.2205496623166939,200
353,0.7194029850746269,0.23086996336996335,72
357,0.74609375,0.14772727272727273,68
365,0.6883116883116883,0.25419928673200504,183
382,0.8170289855072463,0.3908459635781702,146
384,0.7501982553528945,0.4803351450618657,110
387,0.7323232323232325,0.3748015873015873,72
388,0.8433107756376887,0.42859435757059156,130
390,0.8929523809523809,0.5222130828245364,146
391,0.8020833333333335,0.4465912862304201,111
392,0.7924710424710425,0.5642641787516088,88
394,0.8584982380048793,0.3570610060144053,234
396,0.7897435897435897,0.2105489417989418,71
400,0.8072631365388517,0.6096210295246728,190
403,0.8571428571428572,0.49411829854198386,130
407,0.8636363636363636,0.500896900034831,83
411,0.8100407055630936,0.3711539711822169,223
413,0.7113553113553114,0.12394440895586677,223
416,0.8491503267973857,0.31258553799566663,242
417,0.7402560455192034,0.33687182304946667,204
420,0.8508357087328324,0.5928020637716201,522
421,0.8122807017543858,0.6478693144972214,67
435,0.7057291666666667,0.2366828928756387,160
440,0.8013750954927426,0.3578977807436306,130
443,0.6736572890025576,0.24155580756276035,446
444,0.8542678695350451,0.3536057777037501,142
449,0.7858887032515102,0.3695632541733961,282
452,0.7906799083269671,0.4931630043845706,94
458,0.8520708697653014,0.5304861055137975,463
459,0.8771929824561404,0.544094304388422,63
