hospitalid,auroc,auprc,n
63,0.7866847826086956,0.24586527805674813,100
66,0.7853881278538813,0.10832004253056884,76
73,0.8223837209302326,0.34507860102196963,683
79,0.7472868217054264,0.21922597344121975,144
110,0.7752808988764045,0.3151394942915544,194
122,0.8255159474671669,0.41855848294317843,367
141,0.7639146567717997,0.3714702092584258,168
142,0.8299859055673009,0.5320875610089262,205
143,0.6890547263681592,0.1346554834054834,73
144,0.7434640522875817,0.2329976219913327,77
146,0.7839506172839507,0.4288188188188188,87
148,0.8344988344988344,0.41678576522607325,158
152,0.9058441558441559,0.5880009585091255,95
154,0.7916666666666666,0.4985473387255952,92
157,0.767479674796748,0.4641673182198483,97
165,0.779040404040404,0.5260737036136017,150
167,0.8204160951074532,0.5211104080187348,279
171,0.8509984639016897,0.4153618509550713,100
176,0.7723964165733481,0.4122578083080123,207
181,0.8672360248447205,0.6162895130857315,106
183,0.7711779448621554,0.45411059703496215,211
184,0.8207771609833466,0.5081614352895918,110
188,0.8583235715215412,0.51445736506506,433
195,0.9066558441558441,0.31298215673215674,162
197,0.8280761579994317,0.3720831117750708,224
198,0.5077519379844961,0.08543751333783796,92
199,0.8369348974411746,0.5332105109634071,382
202,0.8521212121212121,0.5078700614273737,86
206,0.7913312693498452,0.5637972086944596,104
207,0.943502824858757,0.7435897435897436,62
208,0.6962265780157153,0.305016103721125,350
210,0.8646616541353382,0.5485969387755102,64
215,0.9076923076923076,0.8060928719313811,72
217,0.862124898621249,0.4347875484661321,155
220,0.8967297762478484,0.513765506202481,90
224,0.7767857142857143,0.22283549783549786,62
226,0.8199786324786325,0.42108922652104663,133
227,0.8618012422360248,0.5650854714883526,152
243,0.8113506478809484,0.34625079394159375,454
244,0.8225957049486461,0.28306891896873776,128
248,0.7960199004975125,0.5460666581847383,216
252,0.7956526536466954,0.35652079159316047,395
256,0.8376068376068376,0.24523809523809526,81
259,0.7109375,0.49619732135298333,78
264,0.7608695652173914,0.23443083239816426,649
268,0.856873822975518,0.5388964430631097,68
269,0.8445945945945945,0.3437590960810775,80
271,0.9070175438596491,0.41938997821350765,101
272,0.8702702702702703,0.25999999999999995,116
275,0.7999999999999999,0.5237414965986394,64
277,0.9162162162162162,0.6279547858046843,158
279,0.7727272727272727,0.16402714932126697,69
280,0.885478158205431,0.26669885345442523,128
281,0.8373161764705882,0.18093783205289315,288
282,0.8224719101123596,0.6017482517482518,94
283,0.7956161137440758,0.24498005631353642,227
300,0.7527993109388458,0.23961486232263143,423
301,0.9285714285714286,0.5912337662337662,103
307,0.7481980934666357,0.42330479697525747,210
310,0.7113207547169811,0.09337889686295914,111
318,0.7073015873015873,0.30332270412495344,120
331,0.6825842696629213,0.13531079679854718,186
336,0.8706293706293706,0.4578631553992679,115
338,0.7386082656305192,0.20848493352126163,485
345,0.7338543809132045,0.22050146490007544,200
353,0.7194029850746269,0.23086996336996335,72
357,0.74609375,0.14772727272727273,68
365,0.6891233766233766,0.25431520456944184,183
382,0.8170289855072463,0.39115726626016256,146
384,0.7501982553528945,0.4803351450618657,110
387,0.7323232323232325,0.3748015873015873,72
388,0.8422696512233212,0.42824106309965004,130
390,0.8929523809523809,0.5222130828245364,146
391,0.8020833333333334,0.45143819392131757,111
392,0.7924710424710425,0.5644349223496956,88
394,0.8582271618324749,0.35571536972067214,234
396,0.7897435897435897,0.2105489417989418,71
400,0.8072631365388517,0.6096210295246728,190
403,0.8556149732620321,0.4877610194574321,130
407,0.8658008658008658,0.5021284271284271,83
411,0.8091361374943464,0.36929667004088024,223
413,0.7102564102564103,0.12380855529502402,223
416,0.8494117647058823,0.3128318025539185,242
417,0.7422475106685632,0.33780190389739445,204
420,0.8508357087328323,0.5907444036671681,522
421,0.8122807017543858,0.6478693144972214,67
435,0.7065972222222222,0.23835790257765666,160
440,0.80061115355233,0.3570586199044697,130
443,0.6733782841199721,0.24128953701449415,446
444,0.8535739070090216,0.35333255366003424,142
449,0.7861457396221565,0.37300371610071353,282
452,0.7891520244461421,0.4898146782731605,94
458,0.8516797054763001,0.5295330302131797,463
459,0.8771929824561404,0.544094304388422,63
