hospitalid,auroc,auprc,n
63,0.7826086956521738,0.24206299972429005,100
66,0.7945205479452055,0.1127946127946128,76
73,0.8222747093023255,0.343995282318411,683
79,0.7441860465116279,0.21605458931935886,144
110,0.7823033707865168,0.317879081992633,194
122,0.8271575984990619,0.42010152575217874,367
141,0.7685528756957329,0.3752302023134486,168
142,0.8292811839323467,0.5365533720547772,205
143,0.6791044776119403,0.13115380861757672,73
144,0.7434640522875817,0.2329976219913327,77
146,0.7798353909465021,0.34566719829877723,87
148,0.8382284382284382,0.4256783300498239,158
152,0.9112554112554112,0.5937571798516326,95
154,0.796875,0.5094923216406593,92
157,0.765040650406504,0.4604444373878909,97
165,0.7811447811447811,0.5413626648035151,150
167,0.8247599451303156,0.526941990922558,279
171,0.8556067588325653,0.4148938363224077,100
176,0.7726763717805152,0.41150831439778257,207
181,0.8656832298136646,0.6233629258509981,106
183,0.7739348370927318,0.45891873951971573,211
184,0.8279143536875496,0.5113526099422917,110
188,0.8583235715215412,0.5108191568131092,433
195,0.9042207792207793,0.3061398008815929,162
197,0.8289286729184427,0.37191765131402205,224
198,0.5,0.08430441807430791,92
199,0.8357686766824449,0.5303654190881317,382
202,0.8496969696969697,0.5347932039922314,86
206,0.7975232198142416,0.5877274334285179,104
207,0.9491525423728813,0.75,62
208,0.6982989379155513,0.31352182414988977,350
210,0.8621553884711779,0.5339825585406577,64
215,0.9054945054945055,0.7907867494824017,72
217,0.8629359286293592,0.4341074859967199,155
220,0.8984509466437176,0.5180945105314854,90
224,0.7767857142857142,0.2225826189061483,62
226,0.8210470085470085,0.42332745411305095,133
227,0.8607660455486542,0.5650071759740061,152
243,0.8116335653256379,0.34670856858829646,454
244,0.8244631185807656,0.28729005186634127,128
248,0.7966832504145936,0.5261915441205314,216
252,0.7943285887675162,0.36320017195526466,395
256,0.8376068376068376,0.24523809523809526,81
259,0.7098214285714286,0.485170903718245,78
264,0.7612302446062037,0.23207662985308394,649
268,0.8531073446327683,0.536149190315857,68
269,0.8355855855855856,0.33435457516339867,80
271,0.9122807017543859,0.4291005291005291,101
272,0.8756756756756756,0.2622353297035692,116
275,0.8101694915254237,0.5912765957446808,64
277,0.9222972972972974,0.642377397567271,158
279,0.7626262626262627,0.15718954248366013,69
280,0.885478158205431,0.2710005741427005,128
281,0.8432904411764707,0.18508310846572257,288
282,0.8269662921348315,0.6519886363636364,94
283,0.7929502369668247,0.2428169146912576,227
300,0.7482055699109964,0.24244213960776667,423
301,0.9345238095238095,0.6065606806986117,103
307,0.7516856544989536,0.4381280870479056,210
310,0.7037735849056603,0.08879830917874396,111
318,0.7073015873015873,0.29891455065368877,120
331,0.6706460674157303,0.13328899150313023,186
336,0.8671328671328671,0.4085111090557258,115
338,0.7380784175203108,0.20361039116426674,485
345,0.7367338543809132,0.2618064821864289,200
353,0.7194029850746269,0.23086996336996335,72
357,0.74609375,0.1484593837535014,68
365,0.689935064935065,0.25461243547483176,183
382,0.8152173913043479,0.38965402749492983,146
384,0.7501982553528945,0.4834924833258618,110
387,0.73989898989899,0.48339719918103263,72
388,0.838105153565851,0.4267281409984926,130
390,0.8925714285714286,0.5074987073040744,146
391,0.7993055555555556,0.4562364984951192,111
392,0.7866795366795366,0.5375867699939882,88
394,0.8598536188669016,0.35503043472467866,234
396,0.7974358974358975,0.21543707686180802,71
400,0.8074660174477581,0.6105630889085141,190
403,0.8563789152024446,0.4859885144175964,130
407,0.8744588744588744,0.5083020050125313,83
411,0.8080054274084125,0.3658926426643092,223
413,0.7142857142857143,0.13171570743137878,223
416,0.8525490196078431,0.3125028551044265,242
417,0.7496443812233285,0.3442252711545091,204
420,0.8512891940917336,0.5914294734371498,522
421,0.8105263157894735,0.6473862227097817,67
435,0.708767361111111,0.24007189208435983,160
440,0.810542398777693,0.35995555074253927,130
443,0.6745873052778423,0.24763458163184812,446
444,0.856349757113116,0.3558608846647635,142
449,0.7883305487726513,0.37352269445500114,282
452,0.7922077922077921,0.5028242651442274,94
458,0.8491946617579383,0.512800594006375,463
459,0.8742690058479532,0.5387524240465417,63
