hospitalid,auroc,auprc,n
63,0.8396739130434783,0.2734800738477209,100
66,0.7990867579908676,0.11602728047740835,76
73,0.8307776162790698,0.33831657512775953,683
79,0.8046511627906976,0.32454494068474177,144
110,0.7377106741573034,0.31404863484530965,194
122,0.8037054409005628,0.40573013991648454,367
141,0.7908163265306123,0.34845045136708297,168
142,0.8095489781536294,0.5349514774319712,205
143,0.7139303482587064,0.14469696969696969,73
144,0.7434640522875817,0.2710418656807376,77
146,0.8024691358024691,0.48014001806684736,87
148,0.813053613053613,0.3789436726747565,158
152,0.8885281385281385,0.5857186798363269,95
154,0.778125,0.5120748504586098,92
157,0.7991869918699187,0.4334717899529985,97
165,0.7811447811447811,0.5731911037614268,150
167,0.8056698673982625,0.5286258181429481,279
171,0.9016897081413211,0.584206116464181,100
176,0.7522396416573348,0.3664459587221562,207
181,0.8555900621118013,0.623907763463167,106
183,0.8060150375939849,0.4882778824939589,211
184,0.8120539254559873,0.4758336651619718,110
188,0.8509045945594169,0.5583512381756691,433
195,0.8831168831168831,0.33764921353156646,162
197,0.8383063370275646,0.4100656646193888,224
198,0.377906976744186,0.05850875975577281,92
199,0.8268505179392193,0.511130032867255,382
202,0.8133333333333334,0.511158102399342,86
206,0.7690402476780186,0.5637712926239715,104
207,0.9774011299435028,0.8095238095238095,62
208,0.6995941628529488,0.30585680155694783,350
210,0.8822055137844612,0.6577551020408163,64
215,0.9032967032967032,0.8303571428571428,72
217,0.8527980535279805,0.43904990669282395,155
220,0.8846815834767642,0.5364667078952793,90
224,0.8363095238095237,0.29762607384090756,62
226,0.7927350427350427,0.4116290568195898,133
227,0.8804347826086956,0.5545813431955537,152
243,0.8052962145645901,0.35001506186717485,454
244,0.7936507936507936,0.26225456603225034,128
248,0.7678275290215588,0.5178660409907848,216
252,0.8088381330685204,0.3725078824131169,395
256,0.8803418803418803,0.25666666666666665,81
259,0.6328125,0.4158064611242023,78
264,0.7403108400550855,0.225188205782843,649
268,0.8907721280602636,0.5867257742257743,68
269,0.768018018018018,0.3423518144955885,80
271,0.9070175438596491,0.4155272967772967,101
272,0.8612612612612613,0.23259680134680136,116
275,0.7898305084745763,0.4137397194000968,64
277,0.9175675675675676,0.6358598395865254,158
279,0.7222222222222221,0.17658730158730157,69
280,0.9020070838252656,0.27288376373044565,128
281,0.8244485294117647,0.18253608282361516,288
282,0.7483146067415731,0.3664912280701754,94
283,0.7565165876777251,0.23477018288122264,227
300,0.7190640252655757,0.19583443598622083,423
301,0.8898809523809523,0.5902597402597403,103
307,0.7147175075563822,0.4090786350887935,210
310,0.6773584905660377,0.08481109104059924,111
318,0.706031746031746,0.28742147590289385,120
331,0.6706460674157303,0.15768771728593156,186
336,0.8583916083916083,0.4720018020257255,115
338,0.7300129518426941,0.18496833569509366,485
345,0.6943644590703415,0.12851064069351623,200
353,0.7283582089552239,0.36029176201373,72
357,0.72265625,0.15348193473193472,68
365,0.674512987012987,0.1883626387641904,183
382,0.802536231884058,0.31265199701246216,146
384,0.7573354480570975,0.4223073036536077,110
387,0.7474747474747475,0.4632756132756133,72
388,0.8355023425299323,0.42996919917408083,130
390,0.8952380952380952,0.5174530175998013,146
391,0.80625,0.4642880181095284,111
392,0.7915057915057916,0.5461933236993262,88
394,0.8384386012469505,0.3335828426613019,234
396,0.8512820512820513,0.33055555555555555,71
400,0.7948874010955569,0.6165926525573204,190
403,0.8220015278838809,0.4268335667199304,130
407,0.8463203463203464,0.44285714285714284,83
411,0.7912709181365898,0.4063626058602676,223
413,0.6868131868131868,0.1183374135253211,223
416,0.8392156862745097,0.3685978948194527,242
417,0.6981507823613087,0.32917513465665643,204
420,0.8329230370562322,0.5278545551756313,522
421,0.7614035087719299,0.5605773262377035,67
435,0.7191840277777778,0.22211043392198482,160
440,0.7754010695187166,0.31104059131918366,130
443,0.6495698674726806,0.24359107920814282,446
444,0.8514920194309508,0.3698146821403041,142
449,0.7772779848348541,0.3835483778097134,282
452,0.7830404889228418,0.5293768514974434,94
458,0.8440865163368615,0.5256605922461322,463
459,0.8333333333333333,0.46889589169000934,63
