hospitalid,auroc,auprc,n
63,0.6981132075471699,0.3503209523110021,114
66,0.850187265917603,0.24404761904761904,92
73,0.8416018525510331,0.35606890402711816,830
79,0.8125,0.34068156724881604,165
92,0.5719298245614035,0.14723646723646724,62
110,0.669621273166801,0.24058831262939018,236
122,0.7653773756755116,0.31152210319541485,426
140,0.7701149425287357,0.3111111111111111,64
141,0.8820332480818415,0.41427413094651744,201
142,0.8155844155844155,0.4675694426635274,222
143,0.7802197802197802,0.2519607843137255,85
144,0.8974358974358974,0.511429773929774,87
146,0.7256493506493507,0.1938147566718995,95
148,0.8114478114478114,0.5167629925728245,183
152,0.873900293255132,0.6678702678702678,104
154,0.8488063660477454,0.46266995419808715,100
157,0.8077622801697999,0.5075641077279386,114
165,0.805668016194332,0.514567592668174,162
167,0.7748546373081688,0.3555135817399206,308
171,0.8076923076923077,0.2154185853634383,112
176,0.8570093457943925,0.6511761964915506,234
180,0.9439655172413793,0.75,62
181,0.7897574123989219,0.5313221943549944,120
183,0.7560606060606061,0.2789802697443523,244
184,0.7933933933933934,0.4810115143267033,126
188,0.7557688273547305,0.40691988815624924,496
195,0.8083333333333332,0.24827111572932103,169
197,0.8563548609515055,0.4159944138332234,248
198,0.5531135531135531,0.08387707300750778,97
199,0.833161830280579,0.5361357425784667,382
202,0.7733333333333332,0.42209155223861106,86
206,0.7795665634674923,0.5438895265997163,104
207,0.7388059701492538,0.4236111111111111,71
208,0.6936175660969208,0.26091616786706584,422
210,0.8298319327731092,0.5866135928055433,75
215,0.8532289628180039,0.6101999939760852,80
217,0.7788018433179724,0.40728207916318365,176
220,0.8507223113964687,0.23132608132608132,96
224,0.681159420289855,0.2193885407652584,76
226,0.7410873440285205,0.41935075512784326,149
227,0.8,0.2280367192114403,173
243,0.7397115871141845,0.33866542846347375,533
244,0.748,0.19829417183861764,160
245,0.684375,0.22208931419457734,84
248,0.8838808250572956,0.5139532293493095,248
252,0.7681989784588051,0.3836391780049341,452
256,0.71,0.44837022132796783,105
259,0.7207729468599033,0.41236031387436,84
264,0.766796066252588,0.2929500797820006,746
268,0.8462709284627092,0.49479717813051144,82
269,0.8939393939393939,0.367816091954023,94
271,0.8236808236808236,0.3472519807558171,118
272,0.7002801120448179,0.13657085477626202,160
275,0.8149253731343284,0.2325814536340852,72
277,0.8383699633699634,0.33076873316436883,194
279,0.8065934065934066,0.2525571518930153,96
280,0.8146718146718146,0.33760409195191804,155
281,0.7143310082435004,0.259276387248508,351
282,0.5433962264150943,0.24372529548065502,111
283,0.6804361501362968,0.13149556213397104,270
300,0.783941290740341,0.33342042634779234,493
301,0.8278061224489797,0.3681716357119583,119
307,0.7404784688995216,0.3814048625033579,234
310,0.7759398496240602,0.15973403408186015,138
312,0.9111111111111111,0.7048185367264315,64
318,0.6527977044476326,0.2084333794703182,140
331,0.855026455026455,0.29061721190434064,219
336,0.7472283813747229,0.419940062002511,134
337,0.7081967213114755,0.16891709822744305,66
338,0.7397298169579049,0.22083960621728188,570
345,0.7672750977835724,0.2752470759118424,249
353,0.676923076923077,0.27503688799463444,83
357,0.86,0.5453030303030304,75
365,0.7604832977967306,0.19545688897568597,208
382,0.8572390572390571,0.35197540466747973,174
384,0.7082777036048065,0.3695480339929309,121
386,0.8038461538461539,0.6171834587157168,62
387,0.8385899814471243,0.46039526921879864,84
388,0.8020975832193342,0.5181583048147389,146
390,0.8739103362391034,0.5422202708894582,168
391,0.8468559837728195,0.5212386613770696,133
392,0.7703703703703704,0.4231126290090774,105
394,0.6947845804988662,0.1763601374565684,263
396,0.4494773519163763,0.07676413507797092,89
400,0.7462837837837838,0.34508711126657754,217
403,0.818241469816273,0.5849731647553663,139
407,0.6857142857142857,0.31803708554832344,92
411,0.7217016491754122,0.29773702642431965,255
413,0.7758928571428572,0.1990443724735245,239
416,0.889763779527559,0.3560933831935712,273
417,0.7827380952380952,0.4959272492804174,245
420,0.8158301509365339,0.41089970721898594,642
421,0.911651728553137,0.6702924667039499,82
435,0.7555555555555555,0.2720295560809268,178
440,0.8345238095238096,0.44404771123392456,152
443,0.7183653184494228,0.32204815389353647,509
444,0.8344226579520697,0.47082965972025903,165
449,0.7256696428571429,0.2443020109734046,312
452,0.719762062128222,0.41192189595159723,106
458,0.8400824678103239,0.5234890323074743,508
459,0.706989247311828,0.3367909285013561,68
