comparison,W,p_value,effect_size_r,n_hospitals,p_value_holm,significant_holm
label_noise_sev0.1_fedavg vs baseline_fedavg,1997.0,0.37451112629713335,0.09159588728277857,94,1.0,False
label_noise_sev0.1_fedprox vs baseline_fedprox,2164.0,0.7961684304961874,0.026642540462294393,94,1.0,False
label_noise_sev0.2_fedavg vs baseline_fedavg,1337.0,0.0007331519959847204,0.348297736992474,94,0.03519129580726658,True
label_noise_sev0.2_fedprox vs baseline_fedprox,1394.0,0.0015672799784418657,0.32612803179027533,94,0.0642584791161165,False
label_noise_sev0.3_fedavg vs baseline_fedavg,677.0,4.472724809295072e-09,0.6049995865190804,94,2.5941803893911417e-07,True
label_noise_sev0.3_fedprox vs baseline_fedprox,703.0,8.038723611738265e-09,0.5948870894302354,94,4.582072458690811e-07,True
input_noise_sev0.01_fedavg vs baseline_fedavg,867.0,0.4426580059761551,0.07918349874300606,94,1.0,False
input_noise_sev0.01_fedprox vs baseline_fedprox,999.0,0.6310014458645269,0.04954099663677498,94,1.0,False
input_noise_sev0.05_fedavg vs baseline_fedavg,2023.0,0.7817390922859389,0.028575877757069188,94,1.0,False
input_noise_sev0.05_fedprox vs baseline_fedprox,1820.0,0.455265882841802,0.07701260063625678,94,1.0,False
input_noise_sev0.1_fedavg vs baseline_fedavg,1887.0,0.4148842315804028,0.08409472597080363,94,1.0,False
input_noise_sev0.1_fedprox vs baseline_fedprox,2033.0,0.8122888120844837,0.024493609506059295,94,1.0,False
input_noise_sev0.25_fedavg vs baseline_fedavg,2079.0,0.6832261772685116,0.042088659844134096,94,1.0,False
input_noise_sev0.25_fedprox vs baseline_fedprox,2005.0,0.48918692297642263,0.07133336245883763,94,1.0,False
input_noise_sev0.5_fedavg vs baseline_fedavg,1648.0,0.02751652346013935,0.22733671387169452,94,0.8254957038041806,False
input_noise_sev0.5_fedprox vs baseline_fedprox,1642.0,0.025964867804371728,0.2296703670508735,94,0.8049109019355236,False
input_noise_sev1.0_fedavg vs baseline_fedavg,1260.0,0.00024518858639618375,0.37824628612528277,94,0.012259429319809188,True
input_noise_sev1.0_fedprox vs baseline_fedprox,1347.0,0.0008403139138116847,0.3444083150271745,94,0.03789195169597161,True
byzantine_random_norm_matched_sev0.05_fedavg vs baseline_fedavg,1337.0,0.0007331519959847204,0.348297736992474,94,0.03519129580726658,True
byzantine_random_norm_matched_sev0.05_fedprox vs baseline_fedprox,1545.0,0.020724050298848513,0.23856508704255347,94,0.6838936598620009,False
byzantine_random_norm_matched_sev0.1_fedavg vs baseline_fedavg,1700.0,0.06285177674108682,0.191868961073494,94,1.0,False
byzantine_random_norm_matched_sev0.1_fedprox vs baseline_fedprox,1739.0,0.11933794893769863,0.16064989026434584,94,1.0,False
byzantine_random_norm_matched_sev0.2_fedavg vs baseline_fedavg,840.0,2.5307803216504754e-07,0.531739829304432,94,1.3919291769077614e-05,True
byzantine_random_norm_matched_sev0.2_fedprox vs baseline_fedprox,856.0,2.0951468908315012e-07,0.5353789335168911,94,1.1732822588656406e-05,True
byzantine_sign_flip_sev0.05_fedavg vs baseline_fedavg,1313.0,0.0005255695356546999,0.35763234970919017,94,0.025752907247080296,True
byzantine_sign_flip_sev0.05_fedprox vs baseline_fedprox,1473.0,0.004182953191546608,0.29540159826441653,94,0.15895222127877112,False
byzantine_sign_flip_sev0.1_fedavg vs baseline_fedavg,2093.0,0.8578440871190924,0.01847473738039977,94,1.0,False
byzantine_sign_flip_sev0.1_fedprox vs baseline_fedprox,1909.0,0.3704685072654228,0.09237368690199889,94,1.0,False
byzantine_sign_flip_sev0.2_fedavg vs baseline_fedavg,612.0,9.913333253354697e-10,0.6302808309312558,94,6.146266617079912e-08,True
byzantine_sign_flip_sev0.2_fedprox vs baseline_fedprox,594.0,6.464132464527067e-10,0.6372817915643941,94,4.137044777297323e-08,True
byzantine_scaled_replacement_sev0.05_fedavg vs baseline_fedavg,1827.0,0.12623619984239454,0.15771606069285216,94,1.0,False
byzantine_scaled_replacement_sev0.05_fedprox vs baseline_fedprox,1847.0,0.14603081537502635,0.14993721676225538,94,1.0,False
byzantine_scaled_replacement_sev0.1_fedavg vs baseline_fedavg,2017.0,0.416426563805502,0.08381704335218164,94,1.0,False
byzantine_scaled_replacement_sev0.1_fedprox vs baseline_fedprox,2136.0,0.7159362843697684,0.03753292196513008,94,1.0,False
byzantine_scaled_replacement_sev0.2_fedavg vs baseline_fedavg,586.0,5.337589046015522e-10,0.6403933293100109,94,3.5228087703702447e-08,True
byzantine_scaled_replacement_sev0.2_fedprox vs baseline_fedprox,591.0,6.01684183869608e-10,0.6384486136014028,94,3.9109471951524524e-08,True
fedavg vs fedprox @ label_noise_sev0.1,1120.0,0.016478403886867835,0.24734962566182944,94,0.5767441360403742,False
fedavg vs fedprox @ input_noise_sev0.05,1149.0,0.002948793272797285,0.3066442336852018,94,0.11500293763909412,False
fedavg vs fedprox @ byzantine_random_norm_matched_sev0.05,788.0,6.593110662119658e-05,0.41158977710131317,94,0.003428417544302222,True
fedavg vs fedprox @ input_noise_sev1.0,1294.0,0.05958587263475075,0.19430383063076695,94,1.0,False
fedavg vs fedprox @ byzantine_sign_flip_sev0.1,1345.0,0.07076642113378782,0.18637507933842118,94,1.0,False
fedavg vs fedprox @ label_noise_sev0.2,1425.5,0.26853283695406305,0.11412135517672263,94,1.0,False
fedavg vs fedprox @ input_noise_sev0.01,978.0,0.0008237380803472088,0.34497870297265903,94,0.03789195169597161,True
fedavg vs fedprox @ byzantine_scaled_replacement_sev0.05,1547.0,0.062378786049472106,0.192215011451041,94,1.0,False
fedavg vs fedprox @ label_noise_sev0.3,1298.0,0.08786817691183348,0.1760380167447464,94,1.0,False
fedavg vs fedprox @ byzantine_random_norm_matched_sev0.2,788.0,8.732215423579422e-06,0.4586109228036962,94,0.0004715396328732888,True
fedavg vs fedprox @ byzantine_sign_flip_sev0.2,915.0,0.001154450887607011,0.3352017197106281,94,0.049641388167101466,True
